dataset,task,model,seed,validation_score,validation_score_metric,best_params,test_rmse,test_mae,test_r2,test_accuracy,test_auc_roc,training_time_seconds,inference_time_per_sample_seconds,train_size,validation_size,test_size,feature_dim,created_at,result_path,validation_accuracy,validation_auc_roc,validation_mae,validation_r2,validation_rmse
diabetes_dataset,classification,xrfm,42,0.9699,accuracy,"{""min_subset_size"": 5000, ""name"": ""xrfm_agop_5k_bw3_reg001_iter3"", ""rfm_params"": {""fit"": {""M_batch_size"": 1000, ""early_stop_rfm"": true, ""iters"": 3, ""reg"": 0.001, ""verbose"": false}, ""model"": {""bandwidth"": 3.0, ""bandwidth_mode"": ""constant"", ""diag"": false, ""exponent"": 1.0, ""kernel"": ""l2""}}, ""split_method"": ""top_vector_agop_on_subset"", ""tuning_metric"": null, ""tuning_metric_by_task"": {""classification"": ""accuracy"", ""regression"": ""mse""}}",,,,0.97,0.9695672613307618,199.7360113330069,2.2248031248454936e-05,60000,20000,20000,76,2026-04-23T02:56:50+00:00,/Users/yuancao/Desktop/xRFM-Analysis/results/raw_round2_xrfm/diabetes_dataset__xrfm__seed_42.json,0.9699,0.9679298296367728,,,
heart_disease_uci,classification,xrfm,42,0.7989130434782609,accuracy,"{""min_subset_size"": 5000, ""name"": ""xrfm_agop_5k_bw5_reg001_iter2"", ""rfm_params"": {""fit"": {""M_batch_size"": 1000, ""early_stop_rfm"": true, ""iters"": 2, ""reg"": 0.001, ""verbose"": false}, ""model"": {""bandwidth"": 5.0, ""bandwidth_mode"": ""constant"", ""diag"": false, ""exponent"": 1.0, ""kernel"": ""l2""}}, ""split_method"": ""top_vector_agop_on_subset"", ""tuning_metric"": null, ""tuning_metric_by_task"": {""classification"": ""accuracy"", ""regression"": ""mse""}}",,,,0.8532608695652174,0.8959230033476806,0.0198028750019148,1.6922551920920934e-06,552,184,184,29,2026-04-23T02:39:45+00:00,/Users/yuancao/Desktop/xRFM-Analysis/results/raw_round2_xrfm/heart_disease_uci__xrfm__seed_42.json,0.7989130434782609,0.8538378766140603,,,
online_news_popularity,regression,xrfm,42,14075.832482212998,rmse,"{""min_subset_size"": 5000, ""name"": ""xrfm_agop_5k_bw5_reg01_iter3"", ""rfm_params"": {""fit"": {""M_batch_size"": 1000, ""early_stop_rfm"": true, ""iters"": 3, ""reg"": 0.01, ""verbose"": false}, ""model"": {""bandwidth"": 5.0, ""bandwidth_mode"": ""constant"", ""diag"": false, ""exponent"": 1.0, ""kernel"": ""l2""}}, ""split_method"": ""top_vector_agop_on_subset"", ""tuning_metric"": null, ""tuning_metric_by_task"": {""classification"": ""accuracy"", ""regression"": ""mse""}}",10750.469597874326,2870.040675422706,0.042257068490250904,,,21.186911958036944,1.7884437886354154e-05,23786,7929,7929,59,2026-04-23T02:58:46+00:00,/Users/yuancao/Desktop/xRFM-Analysis/results/raw_round2_xrfm/online_news_popularity__xrfm__seed_42.json,,,2921.675449061986,0.007847241036691877,14075.832482212998
student_dropout_academic_success,classification,xrfm,42,0.7830508474576271,accuracy,"{""min_subset_size"": 5000, ""name"": ""xrfm_agop_5k_bw3_reg001_iter3"", ""rfm_params"": {""fit"": {""M_batch_size"": 1000, ""early_stop_rfm"": true, ""iters"": 3, ""reg"": 0.001, ""verbose"": false}, ""model"": {""bandwidth"": 3.0, ""bandwidth_mode"": ""constant"", ""diag"": false, ""exponent"": 1.0, ""kernel"": ""l2""}}, ""split_method"": ""top_vector_agop_on_subset"", ""tuning_metric"": null, ""tuning_metric_by_task"": {""classification"": ""accuracy"", ""regression"": ""mse""}}",,,,0.7694915254237288,0.8692408674145797,0.20105691597564146,3.389594352956714e-06,2654,885,885,235,2026-04-23T02:39:48+00:00,/Users/yuancao/Desktop/xRFM-Analysis/results/raw_round2_xrfm/student_dropout_academic_success__xrfm__seed_42.json,0.7830508474576271,0.8770591365751536,,,
winequality_white,regression,xrfm,42,0.6020830966248059,rmse,"{""min_subset_size"": 5000, ""name"": ""xrfm_agop_5k_bw5_reg01_iter3"", ""rfm_params"": {""fit"": {""M_batch_size"": 1000, ""early_stop_rfm"": true, ""iters"": 3, ""reg"": 0.01, ""verbose"": false}, ""model"": {""bandwidth"": 5.0, ""bandwidth_mode"": ""constant"", ""diag"": false, ""exponent"": 1.0, ""kernel"": ""l2""}}, ""split_method"": ""top_vector_agop_on_subset"", ""tuning_metric"": null, ""tuning_metric_by_task"": {""classification"": ""accuracy"", ""regression"": ""mse""}}",0.6078469017366549,0.4230901757065131,0.5229300556931709,,,0.16657525004120544,1.8625418009350494e-06,2938,980,980,11,2026-04-23T02:39:43+00:00,/Users/yuancao/Desktop/xRFM-Analysis/results/raw_round2_xrfm/winequality_white__xrfm__seed_42.json,,,0.4107063994115713,0.5160673453832565,0.6020830966248059
